EACC	Former PUA mapping	Character Name or Description 	Glyph 	Current mapping
216C6B	E9E3	East Asian ideograph 	匆	 5306
216D4E	E9E4	East Asian ideograph 	卥	 5365
217E27	E9E5	East Asian ideograph 	屘	 5C58
217E35	E9E6	East Asian ideograph 	宂	 5B82
222379	E9E7	East Asian ideograph 	岍	 5C8D
223266	E9E8	East Asian ideograph 	揅	 63C5
223276	E9E9	East Asian ideograph 	揑	 63D1
223465	E9EA	East Asian ideograph 	撧	 64A7
224669	E9EB	East Asian ideograph 	氱	 6C31
225048	E9EC	East Asian ideograph 	炖	 7096
226B53	E9ED	East Asian ideograph 	筙	 7B59
227A72	E9EE	East Asian ideograph 	舁	 8201
232D42	E9EF	East Asian ideograph 	䘐	 4610
234560	E9F0	East Asian ideograph 	鎾	 93BE
23473C	E9F1	East Asian ideograph 	鐠	 9420
235574	E9F2	East Asian ideograph 	鬮	 9B2E
235E7B	E9F3	East Asian ideograph 	黾	 9EFE
2D3356	E9F4	East Asian ideograph 	刑	 5211
2D486E	E9F5	East Asian ideograph 	澗	 6F97
2D6B33	E9F6	East Asian ideograph 	刱	 5231
2F3B63	E9F7	East Asian ideograph 	帲	 5E32
396B33	E9F8	East Asian ideograph 	剙	 5259
3F5F34	E9F9	East Asian ideograph 	隙	 9699
4B3248	E9FA	East Asian ideograph 	傲	 50B2
4B3853	E9FB	East Asian ideograph 	塭	 586D
213538	E900	East Asian ideograph (duplicate simplified)	台	 53F0
273169	E901	East Asian ideograph (duplicate simplified)	系	 7CFB
27322E	E902	East Asian ideograph (duplicate simplified)	仃	 4EC3
273263	E903	East Asian ideograph (duplicate simplified)	尽	 5C3D
273746	E904	East Asian ideograph (duplicate simplified)	当	 5F53
273761	E905	East Asian ideograph (duplicate simplified)	罗	 7F57
273D4F	E906	East Asian ideograph (duplicate simplified)	汇	 6C47
274349	E907	East Asian ideograph (duplicate simplified)	历	 5386
27457A	E908	East Asian ideograph (duplicate simplified)	欠	 6B20
274E6F	E909	East Asian ideograph (duplicate simplified)	只	 53EA
274F4B	E90A	East Asian ideograph (duplicate simplified)	获	 83B7
274F70	E90B	East Asian ideograph (duplicate simplified)	巴	 5DF4
275052	E90C	East Asian ideograph (duplicate simplified)	签	 7B7E
275062	E90D	East Asian ideograph (duplicate simplified)	胡	 80E1
275175	E90E	East Asian ideograph (duplicate simplified)	系	 7CFB
275422	E90F	East Asian ideograph (duplicate simplified)	脏	 810F
275458	E910	East Asian ideograph (duplicate simplified)	巴	 5DF4
275551	E911	East Asian ideograph (duplicate simplified)	胡	 80E1
275679	E912	East Asian ideograph (duplicate simplified)	胡	 80E1
27574A	E913	East Asian ideograph (duplicate simplified)	冲	 51B2
275E6B	E914	East Asian ideograph (duplicate simplified)	辟	 8F9F
275F3E	E915	East Asian ideograph (duplicate simplified)	只	 53EA
27605D	E916	East Asian ideograph (duplicate simplified)	台	 53F0
